#coord1    coord2    Free Energy    +/-    Probability    +/-
-0.911062    	-3.110177    36.716915    0.000000    0.000000    0.000000
-0.848230    	-3.110177    40.962423    0.000000    0.000000    0.000000
-0.785398    	-3.110177    46.514148    0.000000    0.000000    0.000000
-0.722566    	-3.110177    50.479773    0.000000    0.000000    0.000000
-0.659734    	-3.110177    56.170877    0.000000    0.000000    0.000000
-0.596903    	-3.110177    58.946237    0.000000    0.000000    0.000000
-0.534071    	-3.110177    66.045304    0.000000    0.000000    0.000000
-0.471239    	-3.110177         inf    0.000000    0.000000    0.000000
-0.408407    	-3.110177         inf    0.000000    0.000000    0.000000
-0.345575    	-3.110177         inf    0.000000    0.000000    0.000000
-0.282743    	-3.110177         inf    0.000000    0.000000    0.000000
-0.219911    	-3.110177         inf    0.000000    0.000000    0.000000
-0.157080    	-3.110177         inf    0.000000    0.000000    0.000000
-0.094248    	-3.110177         inf    0.000000    0.000000    0.000000
-0.031416    	-3.110177         inf    0.000000    0.000000    0.000000
0.031416    	-3.110177         inf    0.000000    0.000000    0.000000
0.094248    	-3.110177         inf    0.000000    0.000000    0.000000
0.157080    	-3.110177    78.427205    0.000000    0.000000    0.000000
0.219911    	-3.110177         inf    0.000000    0.000000    0.000000
0.282743    	-3.110177         inf    0.000000    0.000000    0.000000
0.345575    	-3.110177         inf    0.000000    0.000000    0.000000
0.408407    	-3.110177    75.374961    0.000000    0.000000    0.000000
0.471239    	-3.110177    72.342913    0.000000    0.000000    0.000000
0.534071    	-3.110177    68.013456    0.000000    0.000000    0.000000
0.596903    	-3.110177    63.136897    0.000000    0.000000    0.000000
0.659734    	-3.110177    59.411599    0.000000    0.000000    0.000000
0.722566    	-3.110177    56.135259    0.000000    0.000000    0.000000
0.785398    	-3.110177    53.141668    0.000000    0.000000    0.000000
0.848230    	-3.110177    50.214055    0.000000    0.000000    0.000000
0.911062    	-3.110177    47.391572    0.000000    0.000000    0.000000
0.973894    	-3.110177    45.220029    0.000000    0.000000    0.000000
1.036726    	-3.110177    42.778113    0.000000    0.000000    0.000000
1.099557    	-3.110177    41.232342    0.000000    0.000000    0.000000
1.162389    	-3.110177    40.519553    0.000000    0.000000    0.000000
1.225221    	-3.110177    39.524816    0.000000    0.000000    0.000000
1.288053    	-3.110177    39.297042    0.000000    0.000000    0.000000
1.350885    	-3.110177    39.402710    0.000000    0.000000    0.000000
1.413717    	-3.110177    39.037615    0.000000    0.000000    0.000000
1.476549    	-3.110177    40.338430    0.000000    0.000000    0.000000
1.539380    	-3.110177    40.308784    0.000000    0.000000    0.000000
1.602212    	-3.110177    40.578906    0.000000    0.000000    0.000000
1.665044    	-3.110177    41.402262    0.000000    0.000000    0.000000
1.727876    	-3.110177    42.368138    0.000000    0.000000    0.000000
1.790708    	-3.110177    42.180096    0.000000    0.000000    0.000000
1.853540    	-3.110177    43.479265    0.000000    0.000000    0.000000
1.916372    	-3.110177    43.836126    0.000000    0.000000    0.000000
1.979203    	-3.110177    44.009604    0.000000    0.000000    0.000000
2.042035    	-3.110177    43.409331    0.000000    0.000000    0.000000
2.104867    	-3.110177    43.620672    0.000000    0.000000    0.000000
2.167699    	-3.110177    41.742114    0.000000    0.000000    0.000000
2.230531    	-3.110177    41.068124    0.000000    0.000000    0.000000
2.293363    	-3.110177    39.951270    0.000000    0.000000    0.000000
2.356194    	-3.110177    39.127372    0.000000    0.000000    0.000000
2.419026    	-3.110177    36.238612    0.000000    0.000000    0.000000
2.481858    	-3.110177    34.381756    0.000000    0.000000    0.000000
2.544690    	-3.110177    33.103569    0.000000    0.000000    0.000000
2.607522    	-3.110177    30.349705    0.000000    0.000000    0.000000
2.670354    	-3.110177    28.182154    0.000000    0.000000    0.000000
2.733186    	-3.110177    26.089910    0.000000    0.000000    0.000000
2.796017    	-3.110177    23.248690    0.000000    0.000001    0.000000
2.858849    	-3.110177    20.509140    0.000000    0.000002    0.000000
2.921681    	-3.110177    17.985913    0.000000    0.000005    0.000000
2.984513    	-3.110177    15.791981    0.000000    0.000011    0.000000
3.047345    	-3.110177    13.881646    0.000000    0.000023    0.000000
3.110177    	-3.110177    12.885543    0.000000    0.000035    0.000000
-3.110177    	-3.047345    10.790356    0.000000    0.000081    0.000000
-3.047345    	-3.047345    9.348163    0.000000    0.000145    0.000000
-2.984513    	-3.047345    7.487292    0.000000    0.000305    0.000000
-2.921681    	-3.047345    6.349446    0.000000    0.000481    0.000000
-2.858849    	-3.047345    5.433290    0.000000    0.000694    0.000000
-2.796017    	-3.047345    4.584979    0.000000    0.000976    0.000000
-2.733186    	-3.047345    3.743979    0.000000    0.001367    0.000000
-2.670354    	-3.047345    2.915090    0.000000    0.001906    0.000000
-2.607522    	-3.047345    3.127740    0.000000    0.001750    0.000000
-2.544690    	-3.047345    3.376393    0.000000    0.001584    0.000000
